"away_team","home_team","score","is_neutral","game_ids","date","Home_ABR","Away_ABR","Winner_ABR","Loser_ABR","Home_wins","Attendance","home_fg","away_fg","home_three","away_three","home_ft","away_ft","home_rebound","away_rebound","home_o_rebound","away_o_rebound","home_d_rebound","away_d_rebound","home_assists","away_assists","home_steals","away_steals","home_blocks","away_blocks","home_turnovers","away_turnovers","home_fouls","away_fouls","home_t_fouls","away_t_fouls","home_f_fouls","away_f_fouls","away_is_ranked","home_is_ranked","People"
"Louisville LOU","Miami MIA","LOU 87, MIA 74",FALSE,"/mens-college-basketball/game/_/gameId/401168156",20191105,"MIA","LOU","LOU","MIA",0,95,43.5,54,41.7,47.4,36.4,71.4,35,40,13,10,22,30,12,14,6,8,4,4,10,13,13,17,0,0,0,0,TRUE,FALSE,"7,576"
"North Florida UNF","Florida FLA","FLA 74, UNF 59",FALSE,"/mens-college-basketball/game/_/gameId/401169796",20191105,"FLA","UNF","FLA","UNF",1,95,42,36.8,20,32.4,72.2,60,45,36,19,13,26,23,15,13,7,3,3,0,10,19,16,18,0,0,0,0,FALSE,TRUE,"9,685"
"Holy Cross HC","Maryland MD","MD 95, HC 71",FALSE,"/mens-college-basketball/game/_/gameId/401166020",20191105,"MD","HC","MD","HC",1,76,48.7,44.8,18.5,25.9,66.7,80,47,33,18,8,29,25,15,15,8,3,8,0,8,14,6,19,0,0,0,0,FALSE,TRUE,"13,633"
"Alabama State ALST","Gonzaga GONZ","GONZ 95, ALST 64",FALSE,"/mens-college-basketball/game/_/gameId/401175199",20191105,"GONZ","ALST","GONZ","ALST",1,100,57.6,49,50,56.3,63,58.3,34,25,11,6,23,19,24,14,11,3,3,1,8,21,17,24,0,0,0,0,FALSE,TRUE,"6,000"
"Army ARMY","Villanova VILL","VILL 97, ARMY 54",FALSE,"/mens-college-basketball/game/_/gameId/401169778",20191105,"VILL","ARMY","VILL","ARMY",1,100,52.2,31.3,40,23.3,81.3,70,54,26,14,6,40,20,22,11,9,9,4,3,17,17,14,16,0,0,0,0,FALSE,TRUE,"6,501"
"Wagner WAG","Seton Hall HALL","HALL 105, WAG 71",FALSE,"/mens-college-basketball/game/_/gameId/401168441",20191105,"HALL","WAG","HALL","WAG",1,100,61.7,41,37.5,21.7,68.8,61.5,36,37,6,13,30,24,20,12,14,4,5,0,10,21,25,26,2,2,0,0,FALSE,TRUE,"1,655"
"Eastern Illinois EIU","Texas Tech TTU","TTU 85, EIU 60",FALSE,"/mens-college-basketball/game/_/gameId/401169597",20191105,"TTU","EIU","TTU","EIU",1,100,55.2,40.4,53.3,37.5,68.4,61.5,40,30,8,6,32,24,25,10,7,5,5,1,13,15,16,20,0,0,0,0,FALSE,TRUE,"15,098"
"South Carolina State SCST","Memphis MEM","MEM 97, SCST 64",FALSE,"/mens-college-basketball/game/_/gameId/401170001",20191105,"MEM","SCST","MEM","SCST",1,87,54.5,36.2,30,32,90.5,77.8,42,25,12,7,30,18,21,9,8,2,10,1,13,18,21,20,0,0,0,0,FALSE,TRUE,"16,002"
"Fresno State FRES","Oregon ORE","ORE 71, FRES 57",FALSE,"/mens-college-basketball/game/_/gameId/401170555",20191105,"ORE","FRES","ORE","FRES",1,55,41.7,34.5,7.7,25,74.1,71.4,45,31,16,9,29,22,11,14,8,5,2,7,13,17,12,19,0,0,0,0,FALSE,TRUE,"6,779"
"Central Arkansas CARK","Baylor BAY","BAY 105, CARK 61",FALSE,"/mens-college-basketball/game/_/gameId/401169593",20191105,"BAY","CARK","BAY","CARK",1,86,56.3,36.1,54.5,17.4,50,54.2,51,30,13,8,38,22,25,11,6,5,2,6,14,15,20,19,0,0,0,0,FALSE,TRUE,"8,805"
"Montana State MTST","Utah State USU","USU 81, MTST 73",FALSE,"/mens-college-basketball/game/_/gameId/401166408",20191105,"USU","MTST","USU","MTST",1,71,37.7,42.1,33.3,47.4,77.8,61.5,41,36,11,9,30,27,12,13,8,6,5,3,9,15,23,31,0,1,0,0,FALSE,TRUE,"7,331"
"Jacksonville JAX","Xavier XAV","XAV 76, JAX 57",FALSE,"/mens-college-basketball/game/_/gameId/401169787",20191105,"XAV","JAX","XAV","JAX",1,98,48.3,41.1,17.4,23.8,58.3,50,39,33,10,6,29,27,11,10,10,7,2,1,11,18,15,19,0,0,0,0,FALSE,TRUE,"10,050"
"Georgia Southern GASO","Auburn AUB","AUB 83, GASO 74",FALSE,"/mens-college-basketball/game/_/gameId/401169797",20191105,"AUB","GASO","AUB","GASO",1,95,50,47.4,31.8,27.8,72,71.4,41,27,11,5,30,22,13,8,6,10,2,2,21,18,21,21,0,0,0,0,FALSE,TRUE,"8,702"
"St. Francis (PA) SFPA","VCU VCU","VCU 72, SFPA 58",FALSE,"/mens-college-basketball/game/_/gameId/401170102",20191105,"VCU","SFPA","VCU","SFPA",1,100,49.1,32.3,23.1,28.6,60,55.6,42,39,10,15,32,24,13,9,12,12,4,0,18,19,18,20,0,0,0,0,FALSE,TRUE,"7,637"
"Maryville TN MARY","Middle Tennessee MTSU","MTSU 119, MARY 61",FALSE,"/mens-college-basketball/game/_/gameId/401176052",20191105,"MTSU","MARY","MTSU","MARY",1,70,60,35.1,37.5,45.5,62.5,61.5,52,26,17,8,35,18,19,10,12,7,6,2,15,28,23,24,0,0,0,0,FALSE,FALSE,"8,055"
"Champion Christian College CHA","Lamar LAM","LAM 86, CHA 40",FALSE,"/mens-college-basketball/game/_/gameId/401172973",20191105,"LAM","CHA","LAM","CHA",1,38,52.3,25.5,50,22.7,37.5,87.5,46,33,17,13,29,20,20,9,22,9,9,2,22,32,15,14,0,0,0,0,FALSE,FALSE,"3,856"
"Houston Baptist HBU","Tulsa TLSA","TLSA 80, HBU 72",FALSE,"/mens-college-basketball/game/_/gameId/401170038",20191105,"TLSA","HBU","TLSA","HBU",1,43,45.2,35.8,21.4,31,77.8,83.3,40,40,11,16,29,24,12,9,12,7,2,2,11,16,16,20,0,0,0,0,FALSE,FALSE,"3,577"
