trank,team_name,,,,,,,,
199,Cornell,,,,,,,,
200,UNC Greensboro,,,,,,,,
201,USC Upstate,,,,,,,,
202,Grand Canyon,,,,,,,,
203,Holy Cross,,,,,,,,
204,Cal St. Northridge,,,,,,,,
205,Loyola Marymount,,,,,,,,
206,North Florida,,,,,,,,
207,Cal Poly,,,,,,,,
208,IUPUI,,,,,,,,
209,Penn,,,,,,,,
210,Wofford,,,,,,,,
211,UC Davis,,,,,,,,
212,UTEP,,,,,,,,
213,Bradley,,,,,,,,
214,Kent St.,,,,,,,,
215,Manhattan,,,,,,,,
216,Sacramento St.,,,,,,,,
217,East Tennessee St.,,,,,,,,
218,Brown,,,,,,,,
219,Coastal Carolina,,,,,,,,
220,Rider,,,,,,,,
221,Duquesne,,,,,,,,
222,Oral Roberts,,,,,,,,
223,UNC Asheville,,,,,,,,
224,Stony Brook,,,,,,,,
225,Furman,,,,,,,,
226,Youngstown St.,,,,,,,,
227,UMKC,,,,,,,,
228,Colgate,,,,,,,,
229,Troy,,,,,,,,
230,Northwestern St.,,,,,,,,
231,Nebraska Omaha,,,,,,,,
232,North Texas,,,,,,,,
233,South Florida,,,,,,,,
234,Marist,,,,,,,,
235,Stetson,,,,,,,,
236,Tulane,,,,,,,,
237,Milwaukee,,,,,,,,
238,Seattle,,,,,,,,
239,San Francisco,,,,,,,,
240,Northeastern,,,,,,,,
241,Lipscomb,,,,,,,,
242,Southern Miss,,,,,,,,
243,UC Riverside,,,,,,,,
244,Texas A&M Corpus Chris,,,,,,,,
245,South Alabama,,,,,,,,
246,Drexel,,,,,,,,
247,Dartmouth,,,,,,,,
248,Canisius,,,,,,,,
249,Idaho St.,,,,,,,,
250,Howard,,,,,,,,
251,Fairleigh Dickinson,,,,,,,,
252,Eastern Washington,,,,,,,,
253,Eastern Illinois,,,,,,,,
254,Tennessee St.,,,,,,,,
255,Binghamton,,,,,,,,
256,NJIT,,,,,,,,
257,Cal St. Fullerton,,,,,,,,
258,Louisiana Monroe,,,,,,,,
259,San Diego,,,,,,,,
260,High Point,,,,,,,,
261,Eastern Kentucky,,,,,,,,
262,San Jose St.,,,,,,,,
263,Southern,,,,,,,,
264,Illinois Chicago,,,,,,,,
265,Northern Kentucky,,,,,,,,
266,Northern Colorado,,,,,,,,
267,Florida Atlantic,,,,,,,,
268,Montana St.,,,,,,,,
269,Mount St. Mary's,,,,,,,,
270,North Carolina Central,,,,,,,,
271,FIU,,,,,,,,
272,UMass Lowell,,,,,,,,
273,South Dakota,,,,,,,,
274,Norfolk St.,,,,,,,,
275,Gardner Webb,,,,,,,,
276,Arkansas St.,,,,,,,,
277,New Orleans,,,,,,,,
278,Jacksonville,,,,,,,,
279,Texas St.,,,,,,,,
280,Northern Arizona,,,,,,,,
281,Western Illinois,,,,,,,,
282,Charleston Southern,,,,,,,,
283,Liberty,,,,,,,,
284,Quinnipiac,,,,,,,,
285,Lafayette,,,,,,,,
286,Jackson St.,,,,,,,,
287,Navy,,,,,,,,
288,VMI,,,,,,,,
289,Miami OH,,,,,,,,
290,Tennessee Martin,,,,,,,,
291,Southeastern Louisiana,,,,,,,,
292,Radford,,,,,,,,
293,Bryant,,,,,,,,
294,Appalachian St.,,,,,,,,
295,Portland St.,,,,,,,,
296,Robert Morris,,,,,,,,
297,UTSA,,,,,,,,
298,Loyola MD,,,,,,,,
299,Western Carolina,,,,,,,,
300,Samford,,,,,,,,
301,McNeese St.,,,,,,,,
302,Lamar,,,,,,,,
303,SIU Edwardsville,,,,,,,,
304,St. Francis NY,,,,,,,,
305,Jacksonville St.,,,,,,,,
306,South Carolina St.,,,,,,,,
307,UMBC,,,,,,,,
308,Austin Peay,,,,,,,,
