"away_team","home_team","score","is_neutral","game_ids","date","Home_ABR","Away_ABR","Winner_ABR","Loser_ABR","Home_wins","Attendance","home_fg","away_fg","home_three","away_three","home_ft","away_ft","home_rebound","away_rebound","home_o_rebound","away_o_rebound","home_d_rebound","away_d_rebound","home_assists","away_assists","home_steals","away_steals","home_blocks","away_blocks","home_turnovers","away_turnovers","home_fouls","away_fouls","home_t_fouls","away_t_fouls","home_f_fouls","away_f_fouls","away_is_ranked","home_is_ranked","People"
"Kentucky Christian KYCH","Morehead State MORE","MORE 102, KYCH 82",FALSE,"/mens-college-basketball/game/_/gameId/401090140",20181106,"MORE","KYCH","MORE","KYCH",1,19,53.7,47.6,31.8,38.7,70,66.7,48,24,21,9,27,15,17,12,9,6,2,2,13,17,14,11,0,0,0,0,FALSE,FALSE,"1,255"
"Rider RID","UCF UCF","UCF 84, RID 70",FALSE,"/mens-college-basketball/game/_/gameId/401084639",20181106,"UCF","RID","UCF","RID",1,49,45.8,39.1,22.7,41.2,55.6,37.5,47,47,12,16,35,31,14,15,5,6,10,1,11,17,22,32,0,1,0,0,FALSE,FALSE,"4,870"
"Loyola (MD) L-MD","St. John's SJU","SJU 76, L-MD 55",FALSE,"/mens-college-basketball/game/_/gameId/401083337",20181106,"SJU","L-MD","SJU","L-MD",1,87,44.6,34.1,31.8,25,73.3,68.8,35,37,9,7,26,30,13,7,13,11,2,0,18,24,26,17,0,0,0,0,FALSE,FALSE,"4,863"
"Wagner WAG","Seton Hall HALL","HALL 89, WAG 49",FALSE,"/mens-college-basketball/game/_/gameId/401083326",20181106,"HALL","WAG","HALL","WAG",1,100,51.7,32.1,41.7,23.1,76,70,41,29,11,10,30,19,20,10,11,4,8,1,8,16,17,21,0,0,0,0,FALSE,FALSE,"1,655"
"Siena SIE","Providence PROV","PROV 77, SIE 67",FALSE,"/mens-college-basketball/game/_/gameId/401083308",20181106,"PROV","SIE","PROV","SIE",1,65,54.7,45.1,52,42.9,85.7,69.2,31,23,11,9,20,14,16,16,4,6,2,0,15,13,13,12,0,0,0,0,FALSE,FALSE,"8,021"
"Chicago State CHIC","Indiana IU","IU 104, CHIC 55",FALSE,"/mens-college-basketball/game/_/gameId/401082362",20181106,"IU","CHIC","IU","CHIC",1,99,56.5,31.7,33.3,23.8,57.6,57.1,52,33,16,10,36,23,20,13,12,10,5,2,13,20,19,26,0,0,0,0,FALSE,FALSE,"17,222"
"Brevard College BRE","South Carolina State SCST","SCST 99, BRE 51",FALSE,"/mens-college-basketball/game/_/gameId/401090323",20181106,"SCST","BRE","SCST","BRE",1,14,59.6,40.9,60,41.7,71,55.6,39,18,15,8,24,10,13,8,11,5,2,3,15,26,19,25,1,1,0,0,FALSE,FALSE,"432"
"Wilmington (OH) WIL","Northern Kentucky NKU","NKU 102, WIL 38",FALSE,"/mens-college-basketball/game/_/gameId/401089930",20181106,"NKU","WIL","NKU","WIL",1,29,58.5,22.4,31.3,20.8,53.8,53.8,58,24,21,10,37,14,20,7,11,6,7,2,18,26,20,25,0,0,0,0,FALSE,FALSE,"2,454"
"Rivier RIV","New Hampshire UNH","UNH 108, RIV 54",FALSE,"/mens-college-basketball/game/_/gameId/401089718",20181106,"UNH","RIV","UNH","RIV",1,14,60.3,31.7,44.8,29.2,56.5,90,53,22,18,7,35,15,22,7,5,2,5,1,14,16,14,22,0,0,0,0,FALSE,FALSE,"343"
"Arlington Baptist ABU","Abilene Christian ACU","ACU 107, ABU 54",FALSE,"/mens-college-basketball/game/_/gameId/401089690",20181106,"ACU","ABU","ACU","ABU",1,33,62.1,36.7,47.8,41.7,66.7,72.2,41,21,14,7,27,14,26,5,13,2,6,0,11,22,20,22,0,0,0,0,FALSE,FALSE,"1,500"
"Johnson & Wales (CO) JW","Air Force AFA","AFA 90, JW 65",FALSE,"/mens-college-basketball/game/_/gameId/401089562",20181106,"AFA","JW","AFA","JW",1,19,57.4,40.7,56.3,30.4,61.1,58.8,45,24,13,7,32,17,22,7,5,10,1,3,14,9,17,17,0,0,0,0,FALSE,FALSE,"1,083"
"Bob Jones University BOBJ","Furman FUR","FUR 102, BOBJ 48",FALSE,"/mens-college-basketball/game/_/gameId/401088879",20181106,"FUR","BOBJ","FUR","BOBJ",1,42,55.9,42.6,38.2,27.3,61.9,55.6,37,25,13,5,24,20,21,8,7,2,2,0,3,21,11,19,0,0,0,0,FALSE,FALSE,"1,054"
"Washington College (MD) WCMD","VMI VMI","VMI 89, WCMD 56",FALSE,"/mens-college-basketball/game/_/gameId/401088817",20181106,"VMI","WCMD","VMI","WCMD",1,15,47.1,28.4,29,44.4,76.2,42.9,54,34,9,7,45,27,22,10,6,5,6,3,10,10,12,18,0,0,0,0,FALSE,FALSE,"762"
"Concordia (MI) CCD","Central Michigan CMU","CMU 98, CCD 67",FALSE,"/mens-college-basketball/game/_/gameId/401088509",20181106,"CMU","CCD","CMU","CCD",1,40,55.4,44.6,31.6,13.6,60.6,75,43,30,15,9,28,21,13,9,14,7,8,0,12,20,13,21,0,0,0,0,FALSE,FALSE,"2,137"
"New Rochelle NERO","Long Island University LIU","LIU 109, NERO 76",FALSE,"/mens-college-basketball/game/_/gameId/401088457",20181106,"LIU","NERO","LIU","NERO",1,18,51.9,31,32.4,36,73.9,68.2,58,45,13,18,45,27,26,14,17,11,11,2,22,22,23,23,0,0,0,0,FALSE,FALSE,"451"
"Tiffin TIF","Bowling Green BGSU","BGSU 91, TIF 52",FALSE,"/mens-college-basketball/game/_/gameId/401088396",20181106,"BGSU","TIF","BGSU","TIF",1,32,47.9,29.9,27.3,22.2,65.4,50,62,29,18,6,44,23,14,6,7,9,4,1,15,14,13,24,0,0,0,0,FALSE,FALSE,"1,374"
"Mars Hill MH","Appalachian State APP","APP 125, MH 62",FALSE,"/mens-college-basketball/game/_/gameId/401088389",20181106,"APP","MH","APP","MH",1,8,62.9,40,50,37.5,69.7,78.9,39,31,13,10,26,21,22,7,10,5,2,1,11,24,19,29,1,1,0,0,FALSE,FALSE,"718"
"Navy NAVY","Old Dominion ODU","ODU 67, NAVY 44",FALSE,"/mens-college-basketball/game/_/gameId/401088379",20181106,"ODU","NAVY","ODU","NAVY",1,74,35.7,25,37,23.8,65.4,61.1,46,41,13,12,33,29,15,9,8,4,8,1,8,14,19,23,0,0,0,0,FALSE,FALSE,"6,289"
"MIT MIT","Harvard HARV","HARV 78, MIT 66",FALSE,"/mens-college-basketball/game/_/gameId/401088196",20181106,"HARV","MIT","HARV","MIT",1,80,54.5,38.3,33.3,31.3,71.4,78.9,33,34,9,16,24,18,16,11,4,6,7,3,18,13,18,18,0,0,0,0,FALSE,FALSE,"1,311"
"Davis & Elkins DVE","Radford RAD","RAD 91, DVE 57",FALSE,"/mens-college-basketball/game/_/gameId/401088142",20181106,"RAD","DVE","RAD","DVE",1,38,52.5,37.7,54.5,22.2,73.3,70,38,32,8,9,30,23,24,11,4,6,6,0,14,19,16,17,0,0,0,0,FALSE,FALSE,"1,215"
"Randolph College RND","Longwood LONG","LONG 84, RND 56",FALSE,"/mens-college-basketball/game/_/gameId/401088141",20181106,"LONG","RND","LONG","RND",1,69,39.7,34.4,27.8,32,80,60,44,43,8,7,36,36,14,11,16,6,1,3,17,26,17,24,1,0,0,0,FALSE,FALSE,"1,314"
"Mid-Atlantic Christian University MACH","Hampton HAMP","HAMP 110, MACH 58",FALSE,"/mens-college-basketball/game/_/gameId/401088140",20181106,"HAMP","MACH","HAMP","MACH",1,52,50.6,27.4,31.3,27.3,85.7,60,58,46,17,21,41,25,25,17,8,4,13,1,11,16,15,20,0,0,0,0,FALSE,FALSE,"3,712"
"East Tennessee State ETSU","Georgia State GAST","GAST 74, ETSU 68",FALSE,"/mens-college-basketball/game/_/gameId/401088102",20181106,"GAST","ETSU","GAST","ETSU",1,44,38.6,35.1,37.5,17.4,72.4,66.7,39,49,15,27,24,22,9,12,7,5,10,4,13,13,18,24,0,1,0,0,FALSE,FALSE,"1,688"
"Newbury College NWBR","Dartmouth DART","DART 114, NWBR 39",FALSE,"/mens-college-basketball/game/_/gameId/401088049",20181106,"DART","NWBR","DART","NWBR",1,23,51.2,22.9,48.9,26.1,80,50,64,32,21,11,43,21,31,5,8,6,7,2,13,18,5,10,0,0,0,0,FALSE,FALSE,"492"
"Detroit Mercy DET","Western Michigan WMU","WMU 89, DET 76",FALSE,"/mens-college-basketball/game/_/gameId/401087435",20181106,"WMU","DET","WMU","DET",1,33,47,35.7,33.3,33.3,67.9,55.6,56,38,22,19,34,19,20,10,3,7,5,1,15,9,21,22,0,0,0,0,FALSE,FALSE,"1,798"
"Chattanooga UTC","Charlotte CLT","UTC 80, CLT 69",FALSE,"/mens-college-basketball/game/_/gameId/401087318",20181106,"CLT","UTC","UTC","CLT",0,41,48,47.3,25,52.4,73.9,85,31,30,7,9,24,21,8,10,1,5,6,2,13,10,24,22,0,0,0,0,FALSE,FALSE,"3,732"
"Colgate COLG","NJIT NJIT","NJIT 81, COLG 78 (OT)",FALSE,"/mens-college-basketball/game/_/gameId/401086746",20181106,"NJIT","COLG","NJIT","COLG",1,38,47.3,47.2,52.4,33.3,66.7,81.5,27,38,9,13,18,25,14,14,5,2,3,5,8,11,22,19,0,0,0,0,FALSE,FALSE,"1,339"
"Florida A&M FAMU","Jacksonville JAX","FAMU 65, JAX 50",FALSE,"/mens-college-basketball/game/_/gameId/401086677",20181106,"JAX","FAMU","FAMU","JAX",0,96,28.8,49.1,5.9,46.2,86.4,77.8,32,36,14,11,18,25,7,8,12,14,6,4,23,22,16,20,0,0,0,0,FALSE,FALSE,"1,391"
"Florida Gulf Coast FGCU","Illinois State ILST","ILST 74, FGCU 66",FALSE,"/mens-college-basketball/game/_/gameId/401086652",20181106,"ILST","FGCU","ILST","FGCU",1,48,43.9,44.4,29.2,41.4,70.8,50,33,35,10,10,23,25,15,15,8,5,2,0,12,22,18,20,0,0,0,0,FALSE,FALSE,"4,764"
"Central Connecticut CCSU","Hartford HART","CCSU 75, HART 68",FALSE,"/mens-college-basketball/game/_/gameId/401086562",20181106,"HART","CCSU","CCSU","HART",0,36,42.1,47.5,36,28.6,61.1,75,32,38,13,13,19,25,11,12,6,4,5,7,17,14,21,21,0,0,0,0,FALSE,FALSE,"1,269"
"Bryant BRY","Rhode Island URI","URI 97, BRY 63",FALSE,"/mens-college-basketball/game/_/gameId/401086338",20181106,"URI","BRY","URI","BRY",1,63,48.6,33.8,48.1,17.6,60.9,42.3,54,42,17,16,37,26,21,9,7,3,8,3,10,15,21,19,0,0,0,0,FALSE,FALSE,"5,010"
"UMass Lowell UML","UMass MASS","MASS 83, UML 75",FALSE,"/mens-college-basketball/game/_/gameId/401086329",20181106,"MASS","UML","MASS","UML",1,31,50.8,40,30,26.1,55.6,81.3,42,36,11,13,31,23,17,20,2,8,4,1,15,12,17,26,0,0,0,0,FALSE,FALSE,"2,976"
"Stony Brook STBK","George Washington GW","STBK 77, GW 74 (OT)",FALSE,"/mens-college-basketball/game/_/gameId/401086312",20181106,"GW","STBK","STBK","GW",0,73,47.3,38.6,30,23.1,47.1,63,38,46,10,18,28,28,13,9,7,5,7,3,17,12,21,28,0,1,0,0,FALSE,FALSE,"3,188"
"Pennsylvania PENN","George Mason GMU","PENN 72, GMU 71",FALSE,"/mens-college-basketball/game/_/gameId/401086297",20181106,"GMU","PENN","PENN","GMU",0,73,46.7,53.7,25,40,81.3,33.3,36,31,11,8,25,23,8,15,7,6,5,2,17,18,23,19,1,1,0,0,FALSE,FALSE,"5,767"
"City College (NY) CUNY","Fordham FOR","FOR 106, CUNY 58",FALSE,"/mens-college-basketball/game/_/gameId/401086280",20181106,"FOR","CUNY","FOR","CUNY",1,54,51.9,38.9,36.4,23.1,44.4,72.2,44,34,14,6,30,28,23,16,9,2,8,0,6,24,18,19,0,0,0,0,FALSE,FALSE,"1,740"
"Indiana State INST","Ball State BALL","BALL 86, INST 69",FALSE,"/mens-college-basketball/game/_/gameId/401086234",20181106,"BALL","INST","BALL","INST",1,35,49.2,38.8,36.8,50,75,61.1,42,38,16,18,26,20,14,11,7,6,5,5,9,11,18,20,0,0,0,0,FALSE,FALSE,"4,022"
"Marist MRST","Army ARMY","ARMY 73, MRST 69",FALSE,"/mens-college-basketball/game/_/gameId/401085972",20181106,"ARMY","MRST","ARMY","MRST",1,11,43.1,51.9,30,20,69,50,28,36,6,9,22,27,14,8,5,4,1,0,6,12,22,23,0,0,0,0,FALSE,FALSE,"573"
"Gardner-Webb GWEB","VCU VCU","VCU 69, GWEB 57",FALSE,"/mens-college-basketball/game/_/gameId/401085735",20181106,"VCU","GWEB","VCU","GWEB",1,100,42.4,38.5,30.4,31.3,66.7,60,42,32,17,12,25,20,14,12,10,6,7,5,20,21,18,17,0,0,0,0,FALSE,FALSE,"7,637"
"Cleveland State CLEV","Davidson DAV","DAV 83, CLEV 63",FALSE,"/mens-college-basketball/game/_/gameId/401085573",20181106,"DAV","CLEV","DAV","CLEV",1,62,41.7,46.7,36.1,50,76.9,57.9,47,25,21,2,26,23,21,16,6,2,2,1,12,17,18,17,0,0,0,0,FALSE,FALSE,"2,663"
"Alabama A&M AAMU","South Florida USF","USF 80, AAMU 63",FALSE,"/mens-college-basketball/game/_/gameId/401084640",20181106,"USF","AAMU","USF","AAMU",1,21,56.6,42.3,42.9,36,61.1,71.4,32,26,10,10,22,16,20,18,11,11,4,0,20,23,15,24,3,2,0,0,FALSE,FALSE,"2,213"
"Cedarville CDE","Akron AKR","AKR 70, CDE 50",FALSE,"/mens-college-basketball/game/_/gameId/401083993",20181106,"AKR","CDE","AKR","CDE",1,41,40,34.9,35.5,20,73.3,20,45,40,10,10,35,30,12,13,6,6,5,4,12,13,15,17,0,0,0,0,FALSE,FALSE,"2,261"
"East Mennonite EMN","James Madison JMU","JMU 86, EMN 58",FALSE,"/mens-college-basketball/game/_/gameId/401083958",20181106,"JMU","EMN","JMU","EMN",1,41,48.6,42.4,28,22.2,64.3,50,44,35,19,13,25,22,17,15,14,8,9,1,15,22,17,17,0,0,0,0,FALSE,FALSE,"2,623"
"Presbyterian PRE","Charleston COFC","COFC 85, PRE 73",FALSE,"/mens-college-basketball/game/_/gameId/401083883",20181106,"COFC","PRE","COFC","PRE",1,73,41.4,43.3,26.1,25.9,80.8,100,48,30,22,8,26,22,10,11,6,1,5,1,8,11,14,18,0,0,0,0,FALSE,FALSE,"3,711"
"South Carolina Upstate SCUP","South Carolina SC","SC 65, SCUP 52",FALSE,"/mens-college-basketball/game/_/gameId/401083021",20181106,"SC","SCUP","SC","SCUP",1,56,32.8,32.8,0,25,73,70,50,34,19,8,31,26,6,10,11,7,3,3,19,22,13,28,0,0,0,0,FALSE,FALSE,"10,145"
"Mount St. Mary's MSM","NC State NCST","NCST 105, MSM 55",FALSE,"/mens-college-basketball/game/_/gameId/401082837",20181106,"NCST","MSM","NCST","MSM",1,69,55.4,32.8,45.5,23.8,65,62.5,52,30,19,11,33,19,18,8,12,4,6,3,8,18,13,19,0,0,0,0,FALSE,FALSE,"13,632"
"UIC UIC","Notre Dame ND","ND 84, UIC 67",FALSE,"/mens-college-basketball/game/_/gameId/401082820",20181106,"ND","UIC","ND","UIC",1,71,35.5,37.5,18.2,20.7,94.7,65,51,35,18,11,33,24,10,9,4,10,7,0,16,13,21,28,0,0,0,0,FALSE,FALSE,"6,462"
"Youngstown State YSU","Pittsburgh PITT","PITT 69, YSU 53",FALSE,"/mens-college-basketball/game/_/gameId/401082800",20181106,"PITT","YSU","PITT","YSU",1,38,49.1,26.9,18.2,21.1,59.1,64.3,44,44,12,21,32,23,10,11,7,9,2,6,16,20,16,24,2,0,0,0,FALSE,FALSE,"4,729"
"Milwaukee MILW","Boston College BC","BC 73, MILW 53",FALSE,"/mens-college-basketball/game/_/gameId/401082613",20181106,"BC","MILW","BC","MILW",1,44,39.3,27.7,25,29.6,75,69.2,49,38,14,13,35,25,9,13,2,1,5,5,8,8,13,25,0,0,0,0,FALSE,FALSE,"3,763"
"Sacred Heart SHU","Holy Cross HC","HC 93, SHU 81",FALSE,"/mens-college-basketball/game/_/gameId/401087516",20181106,"HC","SHU","HC","SHU",1,29,55.6,67.4,44,41.2,70.6,66.7,25,24,12,6,13,18,25,11,6,4,0,4,9,20,19,17,0,0,0,0,FALSE,FALSE,"1,032"
"Ferrum FERM","Coastal Carolina CCU","CCU 91, FERM 47",FALSE,"/mens-college-basketball/game/_/gameId/401093573",20181106,"CCU","FERM","CCU","FERM",1,62,52.5,33.3,36.4,30.3,79.2,37.5,39,24,10,5,29,19,13,11,10,3,4,0,10,19,14,25,1,1,0,0,FALSE,FALSE,"1,987"
"Lees McRae LEES","Middle Tennessee MTSU","MTSU 91, LEES 69",FALSE,"/mens-college-basketball/game/_/gameId/401092612",20181106,"MTSU","LEES","MTSU","LEES",1,28,55.9,33.8,33.3,34.6,90.9,71.4,48,31,7,10,41,21,15,14,5,11,4,0,23,15,17,21,0,0,0,0,FALSE,FALSE,"3,255"
"East Texas Baptist ETB","Sam Houston SHSU","SHSU 85, ETB 64",FALSE,"/mens-college-basketball/game/_/gameId/401089206",20181106,"SHSU","ETB","SHSU","ETB",1,17,47.9,37.1,23.3,30.6,66.7,70,50,31,14,6,36,25,20,15,11,9,2,0,13,19,13,14,0,0,0,0,FALSE,FALSE,"1,019"
"Texas Wesleyan TW","Stephen F. Austin SFA","SFA 83, TW 71",FALSE,"/mens-college-basketball/game/_/gameId/401089136",20181106,"SFA","TW","SFA","TW",1,43,50.8,46,40,52.2,68.2,92.9,28,21,11,7,17,14,18,16,7,2,2,3,10,21,19,15,0,0,0,0,FALSE,FALSE,"3,120"
"UNC Greensboro UNCG","North Carolina A&T NCAT","UNCG 74, NCAT 66",FALSE,"/mens-college-basketball/game/_/gameId/401088898",20181106,"NCAT","UNCG","UNCG","NCAT",0,100,42.9,50,50,17.6,42.9,70,32,42,16,19,16,23,11,11,7,8,1,9,12,14,14,20,0,0,0,0,FALSE,FALSE,"5,006"
"Columbia International CIU","Charleston Southern CHSO","CHSO 100, CIU 68",FALSE,"/mens-college-basketball/game/_/gameId/401088139",20181106,"CHSO","CIU","CHSO","CIU",1,89,46.3,45.3,38.1,26.1,52.6,50,40,44,10,8,30,36,23,15,14,3,5,1,12,30,11,17,0,1,0,0,FALSE,FALSE,"788"
"North Alabama UNA","Samford SAM","SAM 91, UNA 74",FALSE,"/mens-college-basketball/game/_/gameId/401086764",20181106,"SAM","UNA","SAM","UNA",1,28,62.3,33.3,38.5,38.9,62.5,70.6,46,30,8,13,38,17,16,12,6,11,5,1,17,11,14,16,0,0,0,0,FALSE,FALSE,"1,383"
"La Salle LAS","Temple TEM","TEM 75, LAS 67",FALSE,"/mens-college-basketball/game/_/gameId/401084641",20181106,"TEM","LAS","TEM","LAS",1,59,38.6,35.5,31.3,33.3,72.2,83.3,50,28,15,5,35,23,14,8,6,7,3,4,15,11,20,27,0,0,0,0,FALSE,FALSE,"6,011"
"UNC Wilmington UNCW","Campbell CAMP","CAMP 97, UNCW 93 (OT)",FALSE,"/mens-college-basketball/game/_/gameId/401084021",20181106,"CAMP","UNCW","CAMP","UNCW",1,78,45.8,46,39.4,51.7,75,74.1,34,44,9,12,25,32,21,18,11,3,3,2,7,18,17,20,0,0,0,0,FALSE,FALSE,"2,416"
"Incarnate Word UIW","Texas Tech TTU","TTU 87, UIW 37",FALSE,"/mens-college-basketball/game/_/gameId/401083474",20181106,"TTU","UIW","TTU","UIW",1,68,59.6,26.5,40.9,15.4,76.9,69.2,35,28,11,15,24,13,19,7,13,7,11,2,14,29,16,20,0,0,0,0,FALSE,FALSE,"10,198"
"Delaware DEL","Maryland MD","MD 73, DEL 67",FALSE,"/mens-college-basketball/game/_/gameId/401082418",20181106,"MD","DEL","MD","DEL",1,71,40.3,40,10.5,26.1,70,81.8,44,33,15,10,29,23,13,10,9,9,7,5,12,11,14,22,0,1,0,0,FALSE,FALSE,"12,703"
"Delaware State DSU","East Carolina ECU","ECU 81, DSU 56",FALSE,"/mens-college-basketball/game/_/gameId/401084642",20181106,"ECU","DSU","ECU","DSU",1,53,42.6,33.3,53.3,26.5,77.8,50,49,34,14,9,35,25,18,12,13,2,2,3,15,20,17,26,0,0,0,0,FALSE,FALSE,"3,773"
"Southeastern Baptist College SEBA","Southern Miss USM","USM 111, SEBA 66",FALSE,"/mens-college-basketball/game/_/gameId/401093612",20181106,"USM","SEBA","USM","SEBA",1,27,51.3,34.3,29.4,31.4,61.8,50,59,36,20,10,39,26,31,11,8,7,5,0,10,14,14,23,0,0,0,0,FALSE,FALSE,"2,149"
"Fort Valley State FVS","Troy TROY","TROY 95, FVS 60",FALSE,"/mens-college-basketball/game/_/gameId/401093576",20181106,"TROY","FVS","TROY","FVS",1,49,51.6,42.6,38.7,41.2,79.2,86.7,32,27,11,8,21,19,22,3,8,4,4,2,7,23,12,18,0,0,0,0,FALSE,FALSE,"2,562"
