"away_team","home_team","score","is_neutral","game_ids","date","Home_ABR","Away_ABR","Winner_ABR","Loser_ABR","Home_wins","Attendance","home_fg","away_fg","home_three","away_three","home_ft","away_ft","home_rebound","away_rebound","home_o_rebound","away_o_rebound","home_d_rebound","away_d_rebound","home_assists","away_assists","home_steals","away_steals","home_blocks","away_blocks","home_turnovers","away_turnovers","home_fouls","away_fouls","home_t_fouls","away_t_fouls","home_f_fouls","away_f_fouls","away_is_ranked","home_is_ranked","People"
"Idaho State IDST","Gonzaga GONZ","GONZ 120, IDST 79",FALSE,"/mens-college-basketball/game/_/gameId/401083627",20181106,"GONZ","IDST","GONZ","IDST",1,100,58.6,45.7,33.3,33.3,81.1,69.2,42,30,14,12,28,18,29,16,9,5,4,2,7,15,14,25,0,0,0,0,FALSE,TRUE,"6,000"
"Towson TOW","Virginia UVA","UVA 73, TOW 42",FALSE,"/mens-college-basketball/game/_/gameId/401082762",20181106,"UVA","TOW","UVA","TOW",1,95,48.1,31.7,38.5,28.6,61.1,44.4,35,32,11,12,24,20,19,1,6,3,3,0,5,14,19,18,0,0,0,0,FALSE,TRUE,"13,807"
"Lenoir Rhyne LAG","Tennessee TENN","TENN 86, LAG 41",FALSE,"/mens-college-basketball/game/_/gameId/401082974",20181106,"TENN","LAG","TENN","LAG",1,75,56.7,20.9,35.7,20,61.9,54.5,49,40,9,16,40,24,23,7,9,7,10,1,11,17,16,20,0,0,0,0,FALSE,TRUE,"16,156"
"BYU BYU","Nevada NEV","NEV 86, BYU 70",FALSE,"/mens-college-basketball/game/_/gameId/401083597",20181106,"NEV","BYU","NEV","BYU",1,96,37.9,37.7,28.6,19.4,71.8,63.2,48,44,11,9,37,35,19,17,4,4,4,4,8,8,20,27,0,0,0,0,FALSE,TRUE,"11,094"
"North Carolina UNC","Wofford WOF","UNC 78, WOF 67",FALSE,"/mens-college-basketball/game/_/gameId/401082853",20181106,"WOF","UNC","UNC","WOF",0,100,38.1,49.2,25.7,40.9,90.9,73.3,27,35,9,10,18,25,8,21,5,5,2,2,9,15,15,13,0,0,0,0,TRUE,FALSE,"3,400"
"Morgan State MORG","Villanova VILL","VILL 100, MORG 77",FALSE,"/mens-college-basketball/game/_/gameId/401083350",20181106,"VILL","MORG","VILL","MORG",1,100,50.7,46.5,32.4,35.7,74.1,60,45,30,16,10,29,20,21,21,5,10,9,0,14,13,13,24,0,0,0,0,FALSE,TRUE,"6,501"
"South Alabama USA","Auburn AUB","AUB 101, USA 58",FALSE,"/mens-college-basketball/game/_/gameId/401083163",20181106,"AUB","USA","AUB","USA",1,85,51.4,37,47.4,31.8,50,77.3,42,27,19,8,23,19,24,9,9,4,8,5,13,22,21,17,0,0,0,0,FALSE,TRUE,"7,754"
"Portland State PRST","Oregon ORE","ORE 84, PRST 57",FALSE,"/mens-college-basketball/game/_/gameId/401086810",20181106,"ORE","PRST","ORE","PRST",1,66,54,28.8,57.1,14.3,78.8,62.5,38,41,10,25,28,16,12,8,4,5,8,4,14,11,18,25,0,0,0,0,FALSE,TRUE,"8,212"
"Eastern Washington EWU","Syracuse SYR","SYR 66, EWU 34",FALSE,"/mens-college-basketball/game/_/gameId/401082781",20181106,"SYR","EWU","SYR","EWU",1,56,38.7,22,17.6,17.1,53.6,25,54,43,17,14,37,29,11,11,10,4,4,2,10,19,17,23,0,0,0,0,FALSE,TRUE,"19,912"
"Florida FLA","Florida State FSU","FSU 81, FLA 60",FALSE,"/mens-college-basketball/game/_/gameId/401082695",20181106,"FSU","FLA","FSU","FLA",1,97,47.9,37,47.8,25,70.6,66.7,33,30,7,9,26,21,10,9,9,5,2,3,16,16,22,26,1,1,0,0,FALSE,TRUE,"11,103"
"Norfolk State NORF","Michigan MICH","MICH 63, NORF 44",FALSE,"/mens-college-basketball/game/_/gameId/401082446",20181106,"MICH","NORF","MICH","NORF",1,80,36.7,30.5,23.1,25,44.8,45.5,52,40,17,8,35,32,16,8,3,1,8,3,12,13,18,22,0,0,0,0,FALSE,TRUE,"10,109"
"Purdue Fort Wayne PFW","UCLA UCLA","UCLA 96, PFW 71",FALSE,"/mens-college-basketball/game/_/gameId/401087147",20181106,"UCLA","PFW","UCLA","PFW",1,43,54.1,36.6,32,24.3,47.1,58.8,52,28,13,6,39,22,22,17,8,6,4,1,15,12,15,17,1,0,0,0,FALSE,TRUE,"5,931"
"The Citadel CIT","Clemson CLEM","CLEM 100, CIT 80",FALSE,"/mens-college-basketball/game/_/gameId/401082642",20181106,"CLEM","CIT","CLEM","CIT",1,83,55.7,44.8,42.3,37,84,72,39,25,6,3,33,22,20,7,8,7,4,0,12,14,20,19,0,0,0,0,FALSE,TRUE,"7,491"
"SE Louisiana SELA","LSU LSU","LSU 94, SELA 63",FALSE,"/mens-college-basketball/game/_/gameId/401083104",20181106,"LSU","SELA","LSU","SELA",1,80,48.5,40.7,25,30.4,77.4,63.2,43,32,19,12,24,20,14,8,13,4,4,1,9,20,17,21,0,0,0,0,FALSE,TRUE,"10,513"
"Fairfield FAIR","Purdue PUR","PUR 90, FAIR 57",FALSE,"/mens-college-basketball/game/_/gameId/401082580",20181106,"PUR","FAIR","PUR","FAIR",1,97,54.2,36.7,46.7,36.4,80,55.6,40,25,10,10,30,15,17,8,4,5,3,0,13,12,17,17,0,0,0,0,FALSE,TRUE,"14,323"
"Western Kentucky WKU","Washington WASH","WASH 73, WKU 55",FALSE,"/mens-college-basketball/game/_/gameId/401087177",20181106,"WASH","WKU","WASH","WKU",1,57,40,37.7,20,38.5,80,62.5,39,33,12,7,27,26,11,15,6,3,9,5,8,16,22,22,0,0,0,0,FALSE,TRUE,"5,721"
"Wisconsin Lutheran WL","Green Bay GB","GB 110, WL 54",FALSE,"/mens-college-basketball/game/_/gameId/401089873",20181106,"GB","WL","GB","WL",1,26,55.3,32.8,30,25,71.4,55.6,48,36,14,10,34,26,23,9,26,9,4,2,14,33,19,24,0,0,0,0,FALSE,FALSE,"1,042"
"St. Francis (PA) SFPA","Buffalo BUFF","BUFF 82, SFPA 67",FALSE,"/mens-college-basketball/game/_/gameId/401089358",20181106,"BUFF","SFPA","BUFF","SFPA",1,27,42.9,36.4,20.6,50,75,86.7,42,47,15,17,27,30,22,7,10,3,11,2,11,20,19,24,0,0,0,0,FALSE,FALSE,"1,852"
"Rochester College RC","Eastern Michigan EMU","EMU 77, RC 67",FALSE,"/mens-college-basketball/game/_/gameId/401089177",20181106,"EMU","RC","EMU","RC",1,14,53.4,38.5,28.6,33.3,64.7,85.7,46,26,13,8,33,18,10,13,9,10,7,2,20,15,13,18,0,0,0,0,FALSE,FALSE,"1,193"
