"away_team","home_team","score","is_neutral","game_ids","date","Home_ABR","Away_ABR","Winner_ABR","Loser_ABR","Home_wins","Attendance","home_fg","away_fg","home_three","away_three","home_ft","away_ft","home_rebound","away_rebound","home_o_rebound","away_o_rebound","home_d_rebound","away_d_rebound","home_assists","away_assists","home_steals","away_steals","home_blocks","away_blocks","home_turnovers","away_turnovers","home_fouls","away_fouls","home_t_fouls","away_t_fouls","home_f_fouls","away_f_fouls","away_is_ranked","home_is_ranked","People"
"Norfolk State NORF","Delaware State DSU","NORF 87, DSU 76",FALSE,"/mens-college-basketball/game/_/gameId/401269728",20210116,"DSU","NORF","NORF","DSU",0,NA,45.5,56.6,41.4,56.5,77.8,60.9,23,36,7,11,16,25,16,20,4,8,1,3,12,15,18,18,0,0,0,0,FALSE,FALSE,""
"Washington WASH","UCLA UCLA","UCLA 81, WASH 76",FALSE,"/mens-college-basketball/game/_/gameId/401265381",20210116,"UCLA","WASH","UCLA","WASH",1,NA,41.4,51.7,45,43.5,82.4,60,41,30,15,4,26,26,17,13,5,4,2,4,6,11,12,21,0,0,0,0,FALSE,FALSE,""
"Quinnipiac QUIN","Monmouth MONM","MONM 70, QUIN 63",FALSE,"/mens-college-basketball/game/_/gameId/401261889",20210116,"MONM","QUIN","MONM","QUIN",1,NA,36.1,33.3,46.7,30,64.7,81,48,42,16,10,32,32,13,5,12,2,9,5,7,15,16,17,2,0,0,0,FALSE,FALSE,""
"Fairfield FAIR","Marist MRST","FAIR 55, MRST 52",FALSE,"/mens-college-basketball/game/_/gameId/401261887",20210116,"MRST","FAIR","FAIR","MRST",0,NA,39,41.2,15,31.8,75,66.7,31,36,8,8,23,28,10,13,5,5,4,2,10,14,18,14,0,0,0,0,FALSE,FALSE,""
"Murray State MUR","UT Martin UTM","MUR 79, UTM 57",FALSE,"/mens-college-basketball/game/_/gameId/401258207",20210116,"UTM","MUR","MUR","UTM",0,5,33.3,53.6,20,38.5,85,60,31,35,13,11,18,24,10,22,10,8,2,4,18,16,14,18,0,0,0,0,FALSE,FALSE,"231"
"Eastern Kentucky EKY","Eastern Illinois EIU","EKY 93, EIU 85 (OT)",FALSE,"/mens-college-basketball/game/_/gameId/401258205",20210116,"EIU","EKY","EKY","EIU",0,NA,43.8,43.8,21.4,52.2,60,65.4,44,46,12,12,32,34,20,17,7,11,1,2,18,16,20,23,0,0,0,0,FALSE,FALSE,""
"Belmont BEL","Jacksonville State JVST","BEL 98, JVST 91",FALSE,"/mens-college-basketball/game/_/gameId/401258204",20210116,"JVST","BEL","BEL","JVST",0,15,53.6,49.2,46.9,41.2,33.3,83.3,34,37,9,11,25,26,25,20,2,2,5,2,11,8,19,9,0,0,0,0,FALSE,FALSE,"516"
"Liberty LIB","Stetson STET","LIB 68, STET 58",FALSE,"/mens-college-basketball/game/_/gameId/401257541",20210116,"STET","LIB","LIB","STET",0,1,34.3,50.9,33.3,33.3,60,71.4,35,39,15,8,20,31,11,17,7,1,3,5,6,11,8,9,0,0,0,0,FALSE,FALSE,"50"
"Nicholls NICH","Central Arkansas CARK","NICH 74, CARK 72",FALSE,"/mens-college-basketball/game/_/gameId/401257351",20210116,"CARK","NICH","NICH","CARK",0,5,41.7,43.8,27.8,30.3,89.5,66.7,41,34,12,9,29,25,12,18,2,7,1,3,13,9,13,17,0,0,0,0,FALSE,FALSE,"258"
"UL Monroe ULM","Arkansas State ARST","ARST 93, ULM 72",FALSE,"/mens-college-basketball/game/_/gameId/401257117",20210116,"ARST","ULM","ARST","ULM",1,10,52.6,38.3,42.9,40,81.8,85.7,44,25,12,6,32,19,19,14,2,5,3,3,10,8,20,24,0,0,0,0,FALSE,FALSE,"1,074"
"Texas State TXST","Little Rock UALR","TXST 67, UALR 56",FALSE,"/mens-college-basketball/game/_/gameId/401257116",20210116,"UALR","TXST","TXST","UALR",0,8,47.5,53.2,38.5,60,76.5,64.7,24,25,8,10,16,15,11,8,3,5,3,3,16,12,14,18,0,0,0,0,FALSE,FALSE,"427"
"Appalachian State APP","South Alabama USA","APP 83, USA 77",FALSE,"/mens-college-basketball/game/_/gameId/401257114",20210116,"USA","APP","APP","USA",0,9,50,41.1,45.8,44.4,85.7,95.5,37,28,11,8,26,20,10,17,6,6,7,5,14,8,17,10,0,0,0,0,FALSE,FALSE,"867"
"Louisiana UL","UT Arlington UTA","UL 68, UTA 51",FALSE,"/mens-college-basketball/game/_/gameId/401257113",20210116,"UTA","UL","UL","UTA",0,9,26.5,41.4,14.8,60,84.6,61.1,38,51,12,12,26,39,10,16,7,8,5,3,10,16,18,14,0,0,0,0,FALSE,FALSE,"624"
"NJIT NJIT","Albany ALB","ALB 83, NJIT 75",FALSE,"/mens-college-basketball/game/_/gameId/401256983",20210116,"ALB","NJIT","ALB","NJIT",1,NA,52.6,50.8,34.8,40.9,71.4,66.7,28,26,4,3,24,23,12,15,10,9,1,0,17,17,13,20,0,0,0,0,FALSE,FALSE,""
"Middle Tennessee MTSU","Southern Miss USM","USM 64, MTSU 59",FALSE,"/mens-college-basketball/game/_/gameId/401254691",20210116,"USM","MTSU","USM","MTSU",1,15,45.8,36.2,27.3,23.1,70.8,64.7,38,31,6,8,32,23,11,5,7,11,2,0,20,16,20,21,0,0,0,0,FALSE,FALSE,"1,200"
"New Mexico UNM","UNLV UNLV","UNLV 77, UNM 54",FALSE,"/mens-college-basketball/game/_/gameId/401262602",20210116,"UNLV","UNM","UNLV","UNM",1,NA,50.9,33.3,37,16.7,75,73.9,36,31,10,11,26,20,18,13,8,4,2,1,12,14,18,18,0,0,0,0,FALSE,FALSE,""
"Arkansas-Pine Bluff UAPB","Southern SOU","SOU 88, UAPB 53",FALSE,"/mens-college-basketball/game/_/gameId/401253638",20210116,"SOU","UAPB","SOU","UAPB",1,17,63,26.1,68.8,28.6,67.9,75,38,19,8,8,30,11,22,3,9,4,4,2,14,14,27,19,0,0,0,0,FALSE,FALSE,"1,286"
"North Florida UNF","Lipscomb LIP","UNF 72, LIP 67",FALSE,"/mens-college-basketball/game/_/gameId/401276915",20210116,"LIP","UNF","UNF","LIP",0,15,44.4,42.6,33.3,38.2,68.4,77.8,36,35,12,13,24,22,12,12,6,3,1,6,12,10,13,17,0,0,0,0,FALSE,FALSE,"735"
"Northern Iowa UNI","Loyola Chicago LUC","LUC 72, UNI 57",FALSE,"/mens-college-basketball/game/_/gameId/401267006",20210116,"LUC","UNI","LUC","UNI",1,NA,45.2,43.6,28.6,26.3,90.9,80,29,38,11,14,18,24,15,12,11,1,3,6,5,18,11,12,0,0,0,0,FALSE,FALSE,""
"Colorado State CSU","San José State SJSU","CSU 88, SJSU 61",FALSE,"/mens-college-basketball/game/_/gameId/401262603",20210116,"SJSU","CSU","CSU","SJSU",0,NA,38.1,51.5,27.3,35.3,46.7,85.7,30,47,10,13,20,34,6,15,5,2,4,2,8,10,10,18,0,0,0,0,FALSE,FALSE,""
"IUPUI IUPU","Northern Kentucky NKU","IUPU 65, NKU 63",FALSE,"/mens-college-basketball/game/_/gameId/401258518",20210116,"NKU","IUPU","IUPU","NKU",0,NA,47.9,43.9,30.8,36.7,68.4,40,31,29,6,9,25,20,7,8,7,8,3,3,18,14,12,18,0,1,0,0,FALSE,FALSE,""
"Robert Morris RMU","UIC UIC","UIC 66, RMU 62 (OT)",FALSE,"/mens-college-basketball/game/_/gameId/401258502",20210116,"UIC","RMU","UIC","RMU",1,NA,40,33.3,21.1,15.4,52.9,66.7,44,41,10,9,34,32,11,13,3,5,3,4,12,9,26,26,0,0,0,0,FALSE,FALSE,""
"Green Bay GB","Detroit Mercy DET","DET 68, GB 65",FALSE,"/mens-college-basketball/game/_/gameId/401258472",20210116,"DET","GB","DET","GB",1,NA,46.9,41.3,45.5,33.3,70.6,50,35,31,11,13,24,18,11,20,2,5,1,2,13,8,9,21,0,0,0,0,FALSE,FALSE,""
