"away_team","home_team","score","is_neutral","game_ids","date","Home_ABR","Away_ABR","Winner_ABR","Loser_ABR","Home_wins","Attendance","home_fg","away_fg","home_three","away_three","home_ft","away_ft","home_rebound","away_rebound","home_o_rebound","away_o_rebound","home_d_rebound","away_d_rebound","home_assists","away_assists","home_steals","away_steals","home_blocks","away_blocks","home_turnovers","away_turnovers","home_fouls","away_fouls","home_t_fouls","away_t_fouls","home_f_fouls","away_f_fouls","away_is_ranked","home_is_ranked","People"
"Ball State BALL","Dayton DAY","DAY 78, BALL 77",FALSE,"/mens-college-basketball/game/_/gameId/400989811",20171110,"DAY","BALL","DAY","BALL",1,100,48.3,46.3,25,33.3,78.3,75,38,35,7,7,31,28,14,15,5,4,2,3,11,12,15,19,0,0,0,0,FALSE,FALSE,"13,350"
"Charleston Southern CHSO","Davidson DAV","DAV 110, CHSO 62",FALSE,"/mens-college-basketball/game/_/gameId/400989776",20171110,"DAV","CHSO","DAV","CHSO",1,86,50,40.3,49.1,25,82.4,60,41,35,10,9,31,26,29,11,6,1,1,1,1,14,12,17,0,0,0,0,FALSE,FALSE,"3,705"
"Southern Illinois SIU","Winthrop WIN","SIU 81, WIN 66",FALSE,"/mens-college-basketball/game/_/gameId/400989551",20171110,"WIN","SIU","SIU","WIN",0,44,40.7,52.5,25,41.2,66.7,76.9,27,42,8,11,19,31,10,13,9,11,1,3,15,18,15,25,0,1,0,0,FALSE,FALSE,"2,675"
"Purdue Fort Wayne PFW","Oakland OAK","OAK 85, PFW 71",FALSE,"/mens-college-basketball/game/_/gameId/400989282",20171110,"OAK","PFW","OAK","PFW",1,89,50,38.2,36,29.4,78.6,82.4,37,36,7,13,30,23,16,12,8,7,7,1,18,14,14,24,0,0,0,0,FALSE,FALSE,"3,579"
"East Tennessee State ETSU","Northern Kentucky NKU","NKU 81, ETSU 63",FALSE,"/mens-college-basketball/game/_/gameId/400988648",20171110,"NKU","ETSU","NKU","ETSU",1,43,40.9,36.7,27.3,11.1,85.7,70.8,40,43,11,13,29,30,17,3,9,8,3,5,14,20,21,22,0,0,0,0,FALSE,FALSE,"3,586"
"Bob Jones University BOBJ","Furman FUR","FUR 101, BOBJ 48",FALSE,"/mens-college-basketball/game/_/gameId/400988647",20171110,"FUR","BOBJ","FUR","BOBJ",1,68,52.2,33.3,43.2,35,83.3,50,50,24,13,3,37,21,16,7,11,4,1,0,12,21,15,19,0,0,0,0,FALSE,FALSE,"1,688"
"Houston Baptist HBU","Providence PROV","PROV 84, HBU 55",FALSE,"/mens-college-basketball/game/_/gameId/400988412",20171110,"PROV","HBU","PROV","HBU",1,NA,50,31.7,44.4,18.2,63.6,68.8,43,40,12,16,31,24,17,7,11,8,4,3,12,18,17,19,0,0,0,0,FALSE,FALSE,""
"New Orleans UNO","St. John's SJU","SJU 77, UNO 61",FALSE,"/mens-college-basketball/game/_/gameId/400988410",20171110,"SJU","UNO","SJU","UNO",1,88,44.6,38.9,40,28.6,78.9,71.4,27,42,7,15,20,27,17,9,10,4,3,1,11,21,19,17,0,0,0,0,FALSE,FALSE,"4,921"
"Kennesaw State KENN","Butler BUT","BUT 82, KENN 64",FALSE,"/mens-college-basketball/game/_/gameId/400988409",20171110,"BUT","KENN","BUT","KENN",1,100,50,40.7,24,50,52.2,57.9,39,30,11,6,28,24,17,9,9,7,6,0,11,17,18,19,0,0,0,0,FALSE,FALSE,"9,138"
"Cal Poly CP","Stanford STAN","STAN 78, CP 62",FALSE,"/mens-college-basketball/game/_/gameId/400988187",20171110,"STAN","CP","STAN","CP",1,87,49.1,38.3,47.4,40,73.9,66.7,41,24,11,5,30,19,13,11,6,8,4,4,16,11,10,24,0,0,0,0,FALSE,FALSE,"6,276"
"Colgate COLG","UConn CONN","CONN 70, COLG 58",FALSE,"/mens-college-basketball/game/_/gameId/400987927",20171110,"CONN","COLG","CONN","COLG",1,70,37.7,38.5,30,27.6,94.7,66.7,41,32,12,6,29,26,12,11,5,4,5,2,9,14,16,16,0,0,0,0,FALSE,FALSE,"7,154"
"Bryant BRY","Georgia UGA","UGA 79, BRY 54",FALSE,"/mens-college-basketball/game/_/gameId/400987154",20171110,"UGA","BRY","UGA","BRY",1,70,43.3,25.8,40,25.8,59.4,60,59,35,19,14,40,21,14,7,8,5,10,2,17,14,19,26,0,0,0,0,FALSE,FALSE,"7,387"
"South Carolina SC","Wofford WOF","SC 73, WOF 52",FALSE,"/mens-college-basketball/game/_/gameId/400987148",20171110,"WOF","SC","SC","WOF",0,100,34.7,46.3,31.6,47.8,75,75,28,40,8,12,20,28,7,17,3,5,0,3,13,14,16,17,0,0,0,0,FALSE,FALSE,"3,400"
"Presbyterian PRE","Tennessee TENN","TENN 88, PRE 53",FALSE,"/mens-college-basketball/game/_/gameId/400987147",20171110,"TENN","PRE","TENN","PRE",1,69,56.9,36,46.7,30.8,65.2,64.3,39,28,10,7,29,21,25,12,9,3,4,0,8,19,20,21,0,0,0,0,FALSE,FALSE,"15,047"
"UNC Greensboro UNCG","Virginia UVA","UVA 60, UNCG 48",FALSE,"/mens-college-basketball/game/_/gameId/400986648",20171110,"UVA","UNCG","UVA","UNCG",1,95,42.9,29.4,25,15.4,83.3,77.8,30,36,7,16,23,20,8,9,8,5,4,2,13,17,17,20,0,0,0,0,FALSE,FALSE,"13,855"
"South Carolina State SCST","Wisconsin WISC","WISC 85, SCST 50",FALSE,"/mens-college-basketball/game/_/gameId/400986331",20171110,"WISC","SCST","WISC","SCST",1,100,57.1,33.9,43.5,33.3,61.1,66.7,41,22,8,4,33,18,18,7,7,7,3,0,13,14,9,19,0,0,0,0,FALSE,FALSE,"17,287"
"City College (NY) CUNY","Rutgers RUTG","RUTG 94, CUNY 38",FALSE,"/mens-college-basketball/game/_/gameId/400986330",20171110,"RUTG","CUNY","RUTG","CUNY",1,55,61.3,22.4,11.8,21.2,50,62.5,60,20,16,3,44,17,17,5,14,5,2,0,14,18,12,25,0,0,0,0,FALSE,FALSE,"4,389"
"Robert Morris RMU","Ohio State OSU","OSU 95, RMU 64",FALSE,"/mens-college-basketball/game/_/gameId/400986327",20171110,"OSU","RMU","OSU","RMU",1,58,59.7,35.4,27.8,40,62.5,80,51,22,16,9,35,13,16,12,8,7,8,2,19,18,13,22,0,0,0,0,FALSE,FALSE,"11,128"
"Indiana State INST","Indiana IU","INST 90, IU 69",FALSE,"/mens-college-basketball/game/_/gameId/400986322",20171110,"IU","INST","INST","IU",0,99,46.7,59.2,22.2,65.4,69.7,83.3,25,27,8,5,17,22,12,15,10,9,3,2,19,19,18,24,0,0,0,0,FALSE,FALSE,"17,222"
"Western Carolina WCU","Clemson CLEM","CLEM 85, WCU 57",FALSE,"/mens-college-basketball/game/_/gameId/400986312",20171110,"CLEM","WCU","CLEM","WCU",1,91,50,39.3,42.9,37.5,80.6,50,39,32,8,8,31,24,14,9,11,5,5,2,15,20,17,21,0,0,0,0,FALSE,FALSE,"8,188"
"VMI VMI","NC State NCST","NCST 102, VMI 67",FALSE,"/mens-college-basketball/game/_/gameId/400986046",20171110,"NCST","VMI","NCST","VMI",1,75,50.7,36,33.3,20,73.3,77.1,41,31,15,8,26,23,18,9,10,6,6,2,9,21,23,25,0,0,0,0,FALSE,FALSE,"14,805"
"Cornell COR","Syracuse SYR","SYR 77, COR 45",FALSE,"/mens-college-basketball/game/_/gameId/400986024",20171110,"SYR","COR","SYR","COR",1,61,41.4,25,35.3,14.8,72.2,57.7,54,36,21,14,33,22,14,10,12,1,6,1,8,15,22,15,0,0,0,0,FALSE,FALSE,"21,720"
"Cairn University CRN","Delaware State DSU","DSU 71, CRN 50",FALSE,"/mens-college-basketball/game/_/gameId/400992735",20171110,"DSU","CRN","DSU","CRN",1,56,42.2,34.4,14.3,20,71.4,40,52,31,20,11,32,20,14,7,11,6,4,1,21,20,14,15,0,0,0,0,FALSE,FALSE,"1,010"
"Methodist MET","Charlotte CLT","CLT 116, MET 76",FALSE,"/mens-college-basketball/game/_/gameId/400992540",20171110,"CLT","MET","CLT","MET",1,53,62.7,40.3,50,33.3,75,57.1,42,32,9,13,33,19,22,11,11,8,7,2,12,15,23,24,0,0,0,0,FALSE,FALSE,"4,841"
"Texas-Tyler TXTY","Louisiana Tech LT","LT 112, TXTY 71",FALSE,"/mens-college-basketball/game/_/gameId/400992537",20171110,"LT","TXTY","LT","TXTY",1,41,64.5,38.8,48.1,45,65.5,71.4,37,32,6,12,31,20,18,20,15,4,5,0,9,20,17,21,0,0,0,0,FALSE,FALSE,"3,270"
"Emory EMORY","Lipscomb LIP","LIP 98, EMORY 83",FALSE,"/mens-college-basketball/game/_/gameId/400991910",20171110,"LIP","EMORY","LIP","EMORY",1,23,47.1,42.9,30.8,42.3,68.4,63.2,46,38,14,10,32,28,20,16,6,4,6,8,11,12,18,27,0,0,0,0,FALSE,FALSE,"1,168"
"Northeastern NE","Boston University BU","NE 65, BU 59",FALSE,"/mens-college-basketball/game/_/gameId/400991487",20171110,"BU","NE","NE","BU",0,85,40.4,40,29.4,25,50,83.3,31,39,8,8,23,31,10,14,8,3,3,6,13,18,24,17,0,0,0,0,FALSE,FALSE,"1,535"
"Missouri Baptist MB","Southeast Missouri State SEMO","SEMO 81, MB 69",FALSE,"/mens-college-basketball/game/_/gameId/400990871",20171110,"SEMO","MB","SEMO","MB",1,17,50,50,40,34.8,90.5,56.5,29,30,8,11,21,19,17,10,7,3,2,4,13,18,18,16,0,0,0,0,FALSE,FALSE,"1,239"
"Carolina University CARU","Coastal Carolina CCU","CCU 102, CARU 50",FALSE,"/mens-college-basketball/game/_/gameId/400990354",20171110,"CCU","CARU","CCU","CARU",1,43,54.9,30.8,37.5,26.9,71.4,60,53,31,13,7,40,24,21,9,5,2,6,1,9,12,11,18,0,0,0,0,FALSE,FALSE,"1,380"
"UNC Asheville UNCA","Rhode Island URI","URI 84, UNCA 60",FALSE,"/mens-college-basketball/game/_/gameId/400990088",20171110,"URI","UNCA","URI","UNCA",1,80,54.1,42.9,21.4,40,75,56.3,32,31,9,9,23,22,18,11,13,7,2,2,15,27,31,22,1,1,0,0,FALSE,FALSE,"6,367"
"Howard HOW","George Washington GW","GW 84, HOW 75",FALSE,"/mens-college-basketball/game/_/gameId/400989900",20171110,"GW","HOW","GW","HOW",1,88,53.4,35.4,29.4,38.5,65.4,76,41,37,11,14,30,23,19,8,4,6,10,1,15,12,19,25,0,0,0,0,FALSE,FALSE,"3,831"
"Georgia Southern GASO","Wake Forest WAKE","GASO 85, WAKE 83",FALSE,"/mens-college-basketball/game/_/gameId/400986636",20171110,"WAKE","GASO","GASO","WAKE",0,53,43.5,47.8,45.8,40.7,78.3,83.3,40,32,20,15,20,17,14,6,6,7,3,2,18,12,15,22,0,0,0,0,FALSE,FALSE,"7,802"
"Maine ME","Boston College BC","BC 85, ME 65",FALSE,"/mens-college-basketball/game/_/gameId/400986047",20171110,"BC","ME","BC","ME",1,53,48.5,35.6,22.2,34.4,78.9,57.1,51,32,14,8,37,24,13,13,4,1,5,2,8,11,18,20,0,0,0,0,FALSE,FALSE,"4,522"
"Valley Forge UVF","Maryland-Eastern Shore UMES","UMES 95, UVF 69",FALSE,"/mens-college-basketball/game/_/gameId/400992942",20171110,"UMES","UVF","UMES","UVF",1,39,51.4,41.4,39.5,31.6,72.7,62.5,38,36,12,12,26,24,22,13,6,6,6,2,8,11,17,11,0,0,0,0,FALSE,FALSE,"2,164"
