"away_team","home_team","score","is_neutral","game_ids","date","Home_ABR","Away_ABR","Winner_ABR","Loser_ABR","Home_wins","Attendance","home_fg","away_fg","home_three","away_three","home_ft","away_ft","home_rebound","away_rebound","home_o_rebound","away_o_rebound","home_d_rebound","away_d_rebound","home_assists","away_assists","home_steals","away_steals","home_blocks","away_blocks","home_turnovers","away_turnovers","home_fouls","away_fouls","home_t_fouls","away_t_fouls","home_f_fouls","away_f_fouls","away_is_ranked","home_is_ranked","People"
"Elon ELON","Duke DUKE","DUKE 97, ELON 68",FALSE,"/mens-college-basketball/game/_/gameId/400986320",20171110,"DUKE","ELON","DUKE","ELON",1,100,55.4,39.7,48,42.4,27.3,57.1,48,30,15,7,33,23,21,10,7,3,3,1,12,15,16,12,0,0,0,0,FALSE,TRUE,"9,314"
"North Florida UNF","Michigan State MSU","MSU 98, UNF 66",FALSE,"/mens-college-basketball/game/_/gameId/400986324",20171110,"MSU","UNF","MSU","UNF",1,100,57.4,34.8,25,37.9,78.1,60,49,26,14,11,35,15,22,8,12,9,10,2,21,19,21,24,0,0,0,0,FALSE,TRUE,"14,797"
"Northern Arizona NAU","Arizona ARIZ","ARIZ 101, NAU 67",FALSE,"/mens-college-basketball/game/_/gameId/400988189",20171110,"ARIZ","NAU","ARIZ","NAU",1,100,59.6,39.7,38.5,30.8,87.5,56.7,43,23,12,12,31,11,21,11,6,3,6,1,11,13,23,24,0,0,0,0,FALSE,TRUE,"14,644"
"Tennessee State TNST","Kansas KU","KU 92, TNST 56",FALSE,"/mens-college-basketball/game/_/gameId/400989174",20171110,"KU","TNST","KU","TNST",1,100,60,32.8,42.9,34.8,72.7,62.5,45,23,10,8,35,15,23,7,8,10,7,0,20,15,13,16,0,0,0,0,FALSE,TRUE,"16,300"
"Utah Valley UVU","Kentucky UK","UK 73, UVU 63",FALSE,"/mens-college-basketball/game/_/gameId/400987153",20171110,"UK","UVU","UK","UVU",1,97,39.4,41.1,33.3,27.8,69.6,66.7,38,39,18,16,20,23,17,12,11,8,8,8,14,20,18,20,0,0,0,0,FALSE,TRUE,"19,807"
"Columbia CLMB","Villanova VILL","VILL 75, CLMB 60",FALSE,"/mens-college-basketball/game/_/gameId/400988413",20171110,"VILL","CLMB","VILL","CLMB",1,52,40.3,41.8,21.9,33.3,63.6,50,45,32,16,5,29,27,11,10,4,3,2,1,7,13,16,20,0,0,0,0,FALSE,TRUE,"10,504"
"Kansas City KC","Wichita State WICH","WICH 109, KC 57",FALSE,"/mens-college-basketball/game/_/gameId/400987931",20171110,"WICH","KC","WICH","KC",1,100,60.9,27.7,56.5,34.6,78.3,70.6,51,26,8,7,43,19,26,6,4,6,11,4,14,14,15,21,0,0,0,0,FALSE,TRUE,"10,506"
"Northern Iowa UNI","North Carolina UNC","UNC 86, UNI 69",FALSE,"/mens-college-basketball/game/_/gameId/400986021",20171110,"UNC","UNI","UNC","UNI",1,87,50,41.8,33.3,46.4,85.7,66.7,37,29,9,7,28,22,20,15,8,2,3,1,7,14,15,20,0,0,0,0,FALSE,TRUE,"18,926"
"CSU Fullerton CSUF","USC USC","USC 84, CSUF 42",FALSE,"/mens-college-basketball/game/_/gameId/400988193",20171110,"USC","CSUF","USC","CSUF",1,62,41.2,23.3,41.7,10.5,72,41.4,52,44,13,16,39,28,11,4,6,4,9,3,13,21,25,19,0,0,0,0,FALSE,TRUE,"6,327"
"Savannah State SAV","Cincinnati CIN","CIN 107, SAV 77",FALSE,"/mens-college-basketball/game/_/gameId/400987825",20171110,"CIN","SAV","CIN","SAV",1,78,47.7,35.1,33.3,29.5,50,75,65,32,25,7,40,25,24,19,7,11,4,4,20,17,17,24,0,0,0,0,FALSE,TRUE,"6,610"
"Gardner-Webb GWEB","Miami MIA","MIA 77, GWEB 45",FALSE,"/mens-college-basketball/game/_/gameId/400986704",20171110,"MIA","GWEB","MIA","GWEB",1,89,50,31.7,26.9,25,47.6,16.7,48,36,12,10,36,26,21,10,5,5,3,0,12,14,15,19,0,0,0,0,FALSE,TRUE,"7,073"
"South Carolina Upstate SCUP","Minnesota MINN","MINN 92, SCUP 77",FALSE,"/mens-college-basketball/game/_/gameId/400986325",20171110,"MINN","SCUP","MINN","SCUP",1,74,45.7,38.2,32.1,45.2,61.3,68.8,54,35,20,11,34,24,20,13,3,5,6,2,13,12,16,25,0,0,0,0,FALSE,TRUE,"10,836"
"Morehead State MORE","Xavier XAV","XAV 101, MORE 49",FALSE,"/mens-college-basketball/game/_/gameId/400988411",20171110,"XAV","MORE","XAV","MORE",1,100,67.9,23.7,57.1,30.4,60.7,63.6,41,32,7,15,34,17,26,5,11,9,10,4,15,17,19,27,0,0,0,0,FALSE,TRUE,"10,224"
"Texas Southern TXSO","Gonzaga GONZ","GONZ 97, TXSO 69",FALSE,"/mens-college-basketball/game/_/gameId/400986877",20171110,"GONZ","TXSO","GONZ","TXSO",1,100,48.6,36.1,44,19,72.7,56.5,57,35,20,15,37,20,21,5,8,9,2,3,14,10,23,21,0,0,0,0,FALSE,TRUE,"6,000"
"Loyola (MD) L-MD","Northwestern NU","NU 79, L-MD 75",FALSE,"/mens-college-basketball/game/_/gameId/400986326",20171110,"NU","L-MD","NU","L-MD",1,33,41,40.7,23.8,47.1,64.9,65.5,41,44,12,12,29,32,13,14,5,6,12,2,15,18,25,30,0,1,0,0,FALSE,TRUE,"6,013"
"SIU Edwardsville SIUE","Purdue PUR","PUR 105, SIUE 74",FALSE,"/mens-college-basketball/game/_/gameId/400986329",20171110,"PUR","SIUE","PUR","SIUE",1,94,59,38.3,47.4,32.3,75,28.6,39,40,12,24,27,16,24,15,8,4,8,2,11,16,15,24,0,0,0,0,FALSE,TRUE,"13,934"
"Fairleigh Dickinson FDU","Seton Hall HALL","HALL 90, FDU 68",FALSE,"/mens-college-basketball/game/_/gameId/400988408",20171110,"HALL","FDU","HALL","FDU",1,36,50,42.9,37.5,41.7,65.2,62.5,44,27,18,9,26,18,22,15,6,6,2,3,14,17,18,20,0,0,0,0,FALSE,TRUE,"6,733"
"Central Arkansas CARK","Baylor BAY","BAY 107, CARK 66",FALSE,"/mens-college-basketball/game/_/gameId/400988882",20171110,"BAY","CARK","BAY","CARK",1,76,66.1,39.7,70.6,30,85,66.7,42,21,8,7,34,14,29,15,5,4,3,4,16,12,16,19,0,0,0,0,FALSE,TRUE,"7,791"
"Spring Arbor SA","Eastern Michigan EMU","EMU 92, SA 60",FALSE,"/mens-college-basketball/game/_/gameId/400990106",20171110,"EMU","SA","EMU","SA",1,54,50,35.8,34.5,42.3,69.6,78.6,37,38,10,9,27,29,19,15,16,5,8,2,8,24,16,19,1,0,0,0,FALSE,FALSE,"4,767"
"Trevecca Nazarene TNU","Middle Tennessee MTSU","MTSU 104, TNU 52",FALSE,"/mens-college-basketball/game/_/gameId/400992536",20171110,"MTSU","TNU","MTSU","TNU",1,71,52.9,34.1,39.3,28.6,70,62.5,40,27,17,6,23,21,17,7,10,5,3,1,8,22,24,24,0,0,0,0,FALSE,FALSE,"8,227"
"Webber International WEBI","Stetson STET","STET 98, WEBI 89",FALSE,"/mens-college-basketball/game/_/gameId/400991950",20171110,"STET","WEBI","STET","WEBI",1,12,50,44.9,44,42.9,48.1,88.2,45,39,14,6,31,33,23,15,6,8,3,2,13,15,17,22,0,1,0,0,FALSE,FALSE,"475"
"Wheelock College WHEEL","New Hampshire UNH","UNH 95, WHEEL 39",FALSE,"/mens-college-basketball/game/_/gameId/400991544",20171110,"UNH","WHEEL","UNH","WHEEL",1,14,52,25,25,24,78.6,53.8,49,28,16,6,33,22,12,3,10,9,4,0,12,23,14,13,0,0,0,0,FALSE,FALSE,"349"
"Lamar LAM","Tulsa TLSA","LAM 74, TLSA 67",FALSE,"/mens-college-basketball/game/_/gameId/400987926",20171110,"TLSA","LAM","LAM","TLSA",0,89,45.1,42.4,26.3,29.2,69.6,81,28,42,4,14,24,28,8,12,4,10,1,0,15,16,21,21,0,0,0,0,FALSE,FALSE,"7,431"
"Millsaps MLSP","Jackson State JKST","JKST 84, MLSP 46",FALSE,"/mens-college-basketball/game/_/gameId/400992947",20171110,"JKST","MLSP","JKST","MLSP",1,12,49.1,33.3,47.4,30.8,59.4,47.6,39,32,12,9,27,23,17,8,26,6,4,0,14,31,21,25,0,0,0,0,FALSE,FALSE,"929"
"Oglethorpe OGLE","The Citadel CIT","CIT 109, OGLE 73",FALSE,"/mens-college-basketball/game/_/gameId/400988646",20171110,"CIT","OGLE","CIT","OGLE",1,6,47.1,40.3,44.7,21.6,100,53.8,50,44,16,14,34,30,27,16,17,11,4,7,16,25,16,9,0,0,0,0,FALSE,FALSE,"343"
"Siena Heights SH","Central Michigan CMU","CMU 108, SH 48",FALSE,"/mens-college-basketball/game/_/gameId/400990107",20171110,"CMU","SH","CMU","SH",1,40,54.2,28.6,23.1,21.7,88.9,91.7,45,30,12,8,33,22,19,8,19,7,5,3,11,29,17,20,1,0,0,0,FALSE,FALSE,"2,142"
"Campbell CAMP","Penn State PSU","PSU 86, CAMP 75",FALSE,"/mens-college-basketball/game/_/gameId/400986328",20171110,"PSU","CAMP","PSU","CAMP",1,NA,36.9,40.3,26.3,26.1,80.5,82.6,44,37,15,11,29,26,11,8,8,5,4,8,14,18,24,27,0,1,0,0,FALSE,FALSE,""
"Walla Walla University WAL","Eastern Washington EWU","EWU 82, WAL 61",FALSE,"/mens-college-basketball/game/_/gameId/400991226",20171110,"EWU","WAL","EWU","WAL",1,NA,42.6,34,28.6,31,93.3,69.6,45,33,13,6,32,27,16,13,4,6,4,2,10,16,19,20,0,0,0,0,FALSE,FALSE,""
"Bridgewater BRI","James Madison JMU","JMU 80, BRI 50",FALSE,"/mens-college-basketball/game/_/gameId/400991464",20171110,"JMU","BRI","JMU","BRI",1,72,44.4,29.5,25,20,62.1,69.2,53,30,22,13,31,17,8,5,13,13,3,3,20,19,15,24,0,0,0,0,FALSE,FALSE,"4,598"
"Eureka College EUR","North Texas UNT","UNT 122, EUR 65",FALSE,"/mens-college-basketball/game/_/gameId/400999873",20171110,"UNT","EUR","UNT","EUR",1,31,57.7,37.3,38.7,40.9,69,75,48,24,17,4,31,20,16,10,13,3,6,0,12,25,23,25,0,0,0,0,FALSE,FALSE,"3,252"
"Holy Cross HC","Sacred Heart SHU","HC 69, SHU 64",FALSE,"/mens-college-basketball/game/_/gameId/400990709",20171110,"SHU","HC","HC","SHU",0,52,43.9,48.1,20,39.1,55.6,66.7,44,24,17,3,27,21,14,11,4,5,2,2,20,15,14,23,1,0,0,0,FALSE,FALSE,"1,062"
"Detroit Mercy DET","Virginia Tech VT","VT 111, DET 79",FALSE,"/mens-college-basketball/game/_/gameId/400986025",20171110,"VT","DET","VT","DET",1,100,56.8,37.1,33.3,31,71.4,81.8,48,32,16,12,32,20,21,11,9,10,3,4,12,14,16,22,1,0,0,0,FALSE,FALSE,"9,275"
"Alabama State ALST","Mississippi State MSST","MSST 96, ALST 68",FALSE,"/mens-college-basketball/game/_/gameId/400987150",20171110,"MSST","ALST","MSST","ALST",1,65,48.4,37.3,35,26.9,77.1,50,47,41,13,15,34,26,16,8,7,6,4,1,14,17,19,26,0,0,0,0,FALSE,FALSE,"6,811"
"Florida Memorial FM","Florida International FIU","FIU 70, FM 47",FALSE,"/mens-college-basketball/game/_/gameId/400992541",20171110,"FIU","FM","FIU","FM",1,15,45.5,33.3,41.7,28.6,43.5,57.9,32,39,10,12,22,27,15,7,13,4,1,0,11,25,19,22,0,0,0,0,FALSE,FALSE,"731"
"Georgia Southwestern GASW","Radford RAD","RAD 72, GASW 63",FALSE,"/mens-college-basketball/game/_/gameId/400992380",20171110,"RAD","GASW","RAD","GASW",1,51,42.2,46.2,28,50,61.1,40,45,28,23,8,22,20,10,10,4,6,3,2,13,11,13,20,0,0,0,0,FALSE,FALSE,"1,632"
"Summit SUMM","Liberty LIB","LIB 87, SUMM 42",FALSE,"/mens-college-basketball/game/_/gameId/400992342",20171110,"LIB","SUMM","LIB","SUMM",1,43,54.9,28,26.3,14.3,74.3,78.6,36,28,10,10,26,18,12,5,11,6,5,2,11,19,20,24,0,0,0,0,FALSE,FALSE,"4,094"
"MIT MIT","Harvard HARV","HARV 73, MIT 64",FALSE,"/mens-college-basketball/game/_/gameId/400991652",20171110,"HARV","MIT","HARV","MIT",1,90,41.2,40.7,27.8,36.8,72.2,61.9,39,34,11,9,28,25,10,13,9,8,3,1,14,19,22,28,0,0,0,0,FALSE,FALSE,"1,472"
"Towson TOW","Old Dominion ODU","ODU 57, TOW 54",FALSE,"/mens-college-basketball/game/_/gameId/400991498",20171110,"ODU","TOW","ODU","TOW",1,74,41.4,34.5,18.8,30,46.2,71.4,31,46,8,15,23,31,11,8,5,3,10,4,8,16,18,17,0,0,0,0,FALSE,FALSE,"6,279"
"Army ARMY","Hofstra HOF","HOF 77, ARMY 74",FALSE,"/mens-college-basketball/game/_/gameId/400991450",20171110,"HOF","ARMY","HOF","ARMY",1,54,39.7,46.2,28.6,29.6,90.5,54.5,41,33,15,12,26,21,15,17,3,6,1,1,14,13,16,22,0,0,0,0,FALSE,FALSE,"2,703"
"Siena SIE","Charleston COFC","COFC 68, SIE 60 (OT)",FALSE,"/mens-college-basketball/game/_/gameId/400991053",20171110,"COFC","SIE","COFC","SIE",1,97,32.9,38.3,20,28.6,65.4,71.4,40,51,12,11,28,40,10,9,7,3,4,8,6,24,16,25,1,0,0,0,FALSE,FALSE,"4,955"
"Carver Bible College CBC","Georgia State GAST","GAST 90, CBC 50",FALSE,"/mens-college-basketball/game/_/gameId/400990551",20171110,"GAST","CBC","GAST","CBC",1,35,47.4,35.8,28.6,35,50,83.3,42,34,17,9,25,25,23,12,15,5,4,2,7,23,12,15,0,0,0,0,FALSE,FALSE,"1,349"
"Bowling Green BGSU","Drexel DREX","BGSU 78, DREX 69",FALSE,"/mens-college-basketball/game/_/gameId/400990108",20171110,"DREX","BGSU","BGSU","DREX",0,100,41.1,48.1,20,40.9,73.1,63,35,33,11,8,24,25,7,14,5,9,4,2,19,17,24,21,0,0,0,0,FALSE,FALSE,"2,504"
"UMass Lowell UML","UMass MASS","MASS 74, UML 69",FALSE,"/mens-college-basketball/game/_/gameId/400990098",20171110,"MASS","UML","MASS","UML",1,41,47.1,39.2,20,33.3,67.6,76.7,39,27,10,6,29,21,15,15,8,9,7,2,15,14,24,21,0,1,0,0,FALSE,FALSE,"3,857"
"Morgan State MORG","Binghamton BING","BING 76, MORG 59",FALSE,"/mens-college-basketball/game/_/gameId/400990014",20171110,"BING","MORG","BING","MORG",1,53,45.6,33.8,47.6,26.7,66.7,73.3,41,39,10,14,31,25,11,9,7,10,7,2,20,18,21,20,0,0,0,0,FALSE,FALSE,"2,748"
"Iona IONA","Albany ALB","ALB 69, IONA 67",FALSE,"/mens-college-basketball/game/_/gameId/400989985",20171110,"ALB","IONA","ALB","IONA",1,82,38.7,44.1,26.7,18.2,89.5,78.6,47,27,19,7,28,20,6,14,1,6,0,3,13,7,16,21,0,0,0,0,FALSE,FALSE,"3,529"
"Delaware DEL","Richmond RICH","DEL 76, RICH 63",FALSE,"/mens-college-basketball/game/_/gameId/400989975",20171110,"RICH","DEL","DEL","RICH",0,100,42,56.5,19,33.3,77.3,65.5,26,30,7,5,19,25,9,15,8,9,3,2,15,11,22,18,1,1,0,0,FALSE,FALSE,"7,201"
"Grambling GRAM","VCU VCU","VCU 94, GRAM 65",FALSE,"/mens-college-basketball/game/_/gameId/400989917",20171110,"VCU","GRAM","VCU","GRAM",1,100,45.3,37.9,44.1,15.4,73.3,63.3,49,35,16,7,33,28,17,7,5,5,4,3,11,12,23,17,0,0,0,0,FALSE,FALSE,"7,637"
"Lafayette LAF","George Mason GMU","GMU 67, LAF 65",FALSE,"/mens-college-basketball/game/_/gameId/400989878",20171110,"GMU","LAF","GMU","LAF",1,85,47.3,42.2,35,35.5,47.1,0,33,38,7,12,26,26,13,16,8,6,3,2,11,14,10,18,0,0,0,0,FALSE,FALSE,"6,706"
"Miami (OH) M-OH","Fordham FOR","M-OH 55, FOR 54",FALSE,"/mens-college-basketball/game/_/gameId/400989858",20171110,"FOR","M-OH","M-OH","FOR",0,60,39.3,33.9,12.5,21.7,50,66.7,25,53,5,20,20,33,10,12,13,2,4,2,9,21,17,17,0,0,0,0,FALSE,FALSE,"1,923"
